freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,HR	155898 	147170 	187783 	436198 	651127 	841331 	1060000 	1144273 	914855 	619290 	220255 	194525 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,HU	582717 	536473 	645939 	697881 	741617 	811839 	879213 	902600 	844664 	828717 	688540 	743629 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IE	1248215 	1257082 	1600470 	1663611 	1959670 	2034354 	2101539 	2124447 	1910361 	1775106 	1384689 	1444878 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IS	248661 	264361 	328288 	301178 	360421 	456871 	535255 	533871 	426550 	389470 	290711 	295493 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,IT	6319828 	6295819 	7446217 	9274464 	9939486 	10871122 	11886377 	11872734 	10749464 	10289910 	7423605 	7533342 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LT	211645 	186603 	219177 	275671 	315297 	323531 	308984 	337903 	330773 	325298 	237731 	226348 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LU	133600 	160419 	196325 	225949 	254529 	237808 	275661 	258358 	233650 	238843 	171016 	198758 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,LV	219581 	198151 	249928 	277538 	304309 	329780 	363892 	378438 	341947 	331197 	275008 	285058 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,MK	136393 	95355 	99340 	125978 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,MT	231249 	231907 	314288 	377523 	427107 	428226 	468802 	503055 	447923 	422242 	330579 	299422 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,NL	2491275 	2629493 	2925843 	3214259 	3403314 	3423773 	3830715 	3514356 	3453190 	3466435 	2759861 	2966712 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,NO	1690677 	1861937 	2099689 	2119412 	2333084 	2603687 	2573183 	2400849 	2545660 	2410975 	2062401 	1937793 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,PL	1879092 	1736052 	1916073 	2299331 	2638025 	2956264 	3038014 	3177828 	2974066 	2502751 	1988645 	1965892 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,PT	2103245 	2116639 	2597997 	2963987 	3244915 	3331019 	3495431 	3798236 	3494155 	3331618 	2477938 	2266121 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,RO	922777 	794325 	899033 	996109 	1076032 	1206158 	1227619 	1360592 	1260351 	1181480 	951053 	874801 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,RS	316070 	251181 	283136 	329646 	364177 	407379 	459148 	502592 	450402 	391062 	314076 	299177 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SE	1058809 	1149034 	1310413 	1356519 	1586958 	1721728 	1686263 	1535215 	1610522 	1544556 	1181664 	1265195 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SI	37987 	43015 	45700 	56183 	63524 	74136 	80354 	83033 	77062 	65839 	44328 	43353 
M,PAS,PAS_BRD_DEP,TOTAL,TOT,SK	57964 	51096 	62948 	80047 	86974 	185566 	229457 	219057 	142864 	87029 	67845 	75724 
M,PAS,PAS_CRD,TOTAL,TOT,AT	2216720 	2312433 	2671992 	2815001 	3079828 	3292458 	3617732 	3646998 	3355866 	3160072 	2424454 	2688257 
M,PAS,PAS_CRD,TOTAL,TOT,BE	2112992 	2230248 	2515464 	2940235 	3188173 	3129493 	3569596 	3538225 	3232677 	3121099 	2555130 	2626500 
M,PAS,PAS_CRD,TOTAL,TOT,BG	608487 	581925 	690644 	737474 	856276 	1160123 	1466492 	1508901 	1177579 	845340 	640843 	687382 
M,PAS,PAS_CRD,TOTAL,TOT,CH	3669976 	3962593 	4519763 	4804277 	4979241 	4977385 	5558576 	5563958 	5194619 	5256294 	3758492 	4406667 
M,PAS,PAS_CRD,TOTAL,TOT,CY	515273 	494240 	666851 	956258 	1134425 	1298453 	1495756 	1597094 	1405449 	1333541 	713615 	653925 
M,PAS,PAS_CRD,TOTAL,TOT,CZ	855539 	964241 	1186379 	1271040 	1437192 	1851961 	2121749 	2093925 	1864537 	1543416 	1197141 	1358985 
M,PAS,PAS_CRD,TOTAL,TOT,DE	11442379 	11416098 	14117366 	16339726 	18639891 	18843555 	20105842 	20659487 	19936016 	20060738 	14134310 	13860195 
M,PAS,PAS_CRD,TOTAL,TOT,DK	1958286 	2113580 	2550396 	2831630 	3219701 	3360610 	3806660 	3495860 	3347070 	3262808 	2464224 	2454886 
M,PAS,PAS_CRD,TOTAL,TOT,EE	208981 	200411 	243520 	296711 	328544 	328186 	341139 	349002 	331328 	335846 	248048 	260162 
M,PAS,PAS_CRD,TOTAL,TOT,EL	1887504 	1871152 	2420152 	3994782 	6932638 	10452866 	11301112 	11042246 	9289439 	6693177 	2639123 	2504558 
M,PAS,PAS_CRD,TOTAL,TOT,ES	15372903 	15800098 	18890682 	21540184 	23919537 	24921460 	27038800 	27308026 	25197576 	24040779 	17851439 	17858400 
M,PAS,PAS_CRD,TOTAL,TOT,FI	1295894 	1290353 	1436993 	1337176 	1475057 	1612127 	1652874 	1553951 	1509650 	1553356 	1372875 	1723962 
M,PAS,PAS_CRD,TOTAL,TOT,FR	10529231 	10684800 	12297293 	14191070 	15463841 	15564135 	16888553 	17474264 	15341835 	14936176 	11361822 	12637234 
M,PAS,PAS_CRD,TOTAL,TOT,HR	268520 	265235 	363460 	869990 	1315498 	1711465 	2146013 	2136871 	1691905 	1099069 	384186 	358651 
M,PAS,PAS_CRD,TOTAL,TOT,HU	1114906 	1085016 	1302746 	1409391 	1484293 	1584462 	1773761 	1799402 	1688280 	1636101 	1406664 	1496939 
M,PAS,PAS_CRD,TOTAL,TOT,IE	2519907 	2526487 	3151131 	3369253 	3846902 	3971443 	4177625 	4328211 	3813558 	3536119 	2771101 	2821651 
M,PAS,PAS_CRD,TOTAL,TOT,IS	474882 	522585 	637666 	586830 	713678 	907835 	1060887 	1052297 	821778 	748070 	558094 	581244 
M,PAS,PAS_CRD,TOTAL,TOT,IT	10373626 	10397901 	12515189 	15432214 	16826865 	17881230 	19512597 	19822692 	18375336 	16914182 	12003991 	12314789 
M,PAS,PAS_CRD,TOTAL,TOT,LT	396579 	371772 	446216 	538953 	635425 	650585 	644016 	662256 	631058 	645177 	486446 	474266 
M,PAS,PAS_CRD,TOTAL,TOT,LU	288352 	310118 	381379 	448747 	507056 	475740 	507711 	526207 	492404 	474970 	358558 	376612 
M,PAS,PAS_CRD,TOTAL,TOT,LV	419349 	397313 	505632 	546734 	616363 	663789 	747587 	739054 	663658 	666080 	550276 	583993 
M,PAS,PAS_CRD,TOTAL,TOT,MK	243118 	189024 	208023 	251876 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,MT	466111 	475010 	634460 	775374 	859475 	859865 	953075 	984244 	897450 	839268 	631578 	592329 
M,PAS,PAS_CRD,TOTAL,TOT,NL	5127019 	5233899 	5893528 	6275349 	6931788 	6886025 	7253677 	7377128 	6967653 	6929186 	5658185 	5732857 
M,PAS,PAS_CRD,TOTAL,TOT,NO	2357996 	2577163 	2926713 	3011268 	3367598 	3674400 	4027133 	3685422 	3561872 	3486995 	2865954 	2743396 
M,PAS,PAS_CRD,TOTAL,TOT,PL	3407402 	3373904 	3773075 	4231146 	5121804 	5705877 	6092733 	6175948 	5785387 	5046664 	3839917 	3902645 
M,PAS,PAS_CRD,TOTAL,TOT,PT	3629020 	3936876 	4793529 	5465394 	5955362 	6101127 	6535149 	6708778 	6314465 	5981050 	4317578 	4258384 
