freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,SK	50680 	50943 	63550 	77188 	84430 	151112 	229164 	226533 	165053 	90138 	69903 	79060 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,AT	1126163 	1161147 	1354534 	1417821 	1552285 	1656579 	1849217 	1812361 	1653265 	1605236 	1179568 	1360459 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,BE	1004113 	1137813 	1267640 	1497999 	1565913 	1599465 	1943485 	1636733 	1566048 	1567379 	1213534 	1384005 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,BG	333647 	299044 	355491 	380789 	420375 	554712 	699154 	809636 	656374 	442645 	336172 	335065 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CH	1760252 	2014252 	2317718 	2428406 	2470883 	2503073 	2982435 	2659638 	2613712 	2614956 	1842842 	2270411 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CY	259642 	240059 	316273 	465298 	550717 	644287 	739000 	807925 	695982 	683732 	395727 	329809 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CZ	446539 	482300 	593693 	631742 	723414 	958808 	1061803 	1032996 	911116 	762800 	576344 	683983 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,DE	5852903 	6179794 	7725569 	8540094 	9877617 	9868158 	11059135 	10557686 	10391974 	10429366 	7234189 	7619793 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,DK	999904 	1095232 	1332680 	1422108 	1659355 	1777131 	1961664 	1703391 	1752577 	1667513 	1260832 	1315700 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,EE	110580 	103216 	115722 	152933 	161155 	163788 	163698 	179971 	175510 	165981 	123611 	127415 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,EL	1230493 	1199995 	1471624 	2252200 	3745429 	5734415 	6129365 	6270465 	5344880 	4133868 	1785892 	1558974 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,ES	9440161 	9451607 	11272558 	12673962 	13947002 	14676246 	15795603 	16215020 	14621255 	14256887 	11038980 	10594995 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,FI	749596 	747204 	831748 	738896 	792693 	873680 	840583 	843351 	841718 	844084 	775432 	971555 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,FR	6032777 	6329796 	6946909 	8325737 	8588175 	8952146 	10110090 	9576851 	8458075 	8716375 	6401634 	7443203 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,HR	153546 	145024 	185375 	432324 	646663 	836774 	1055684 	1140348 	908691 	614007 	216582 	191501 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,HU	582684 	536410 	645673 	697881 	741372 	811742 	879013 	902600 	844576 	828717 	688320 	743629 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IE	1247302 	1256743 	1600080 	1661961 	1956875 	2033026 	2100271 	2122691 	1908152 	1773451 	1383563 	1444170 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IS	248661 	264361 	328286 	301178 	360421 	456871 	535255 	533871 	426283 	389467 	290709 	295493 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IT	6258218 	6242651 	7390179 	9218694 	9875184 	10802917 	11804795 	11825454 	10704602 	10247194 	7385231 	7495678 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LT	211645 	186603 	219597 	275671 	315053 	322813 	308362 	337413 	330107 	324640 	237226 	225743 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LU	133549 	160419 	196325 	225949 	254529 	237808 	275661 	258180 	233650 	238843 	170893 	198758 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LV	219581 	198151 	249764 	277458 	304266 	329655 	363473 	378438 	341947 	331008 	274622 	285058 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,MK	136393 	95355 	99340 	125978 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,MT	230960 	231849 	314128 	377364 	427097 	428194 	468748 	503001 	447915 	422230 	330466 	299414 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,NL	2491271 	2629490 	2925591 	3214173 	3402782 	3422917 	3829935 	3513079 	3451746 	3465402 	2759764 	2966708 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,NO	1658509 	1827708 	2061040 	2087267 	2301455 	2571352 	2543227 	2369706 	2513790 	2381565 	2037856 	1916855 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,PL	1874222 	1733348 	1914826 	2297229 	2634437 	2954740 	3034721 	3173750 	2972467 	2498561 	1984509 	1961523 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,PT	2094961 	2107164 	2588932 	2955499 	3237059 	3324622 	3488345 	3790186 	3486173 	3322447 	2468401 	2255863 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,RO	921478 	793052 	897849 	995939 	1080741 	1203332 	1226269 	1360265 	1259719 	1180297 	950751 	874288 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,RS	316070 	251181 	283136 	329646 	364177 	407379 	459210 	502592 	450402 	391062 	314076 	299177 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SE	1051294 	1140555 	1293739 	1350074 	1580839 	1710910 	1673549 	1525718 	1601558 	1536754 	1174640 	1257328 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SI	37987 	43015 	45700 	56183 	63524 	74136 	80354 	83033 	77062 	65839 	44328 	43353 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SK	57580 	50901 	62654 	79753 	86486 	185012 	229044 	218820 	142688 	87023 	67449 	75218 
